rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1408109393879293295,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109394325246127,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109394492156578,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109395423656716,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109395430853736,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109395941074200,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109396379973174,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109396415186034,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109396972377907,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109397411237225,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109397483587633,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109398112994505,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109398420749618,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109398620950468,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109399142217148,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109399450223019,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109399650382911,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109400171509580,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109400479799391,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109400679935244,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109401200951727,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109401510003127,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109401710218144,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109402229270165,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109402398232089,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109402740641064,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109403259842974,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109403388741231,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109403874105983,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109404271280673,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109404412140860,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109404904364231,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109405417602762,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109405456415612,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109405934884617,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109406449860214,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109406455898800,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109406964118977,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109407352084716,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109407478675573,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109407994591017,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109408381643253,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109408507735510,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109409025135180,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109409411881784,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109409538243488,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109410054297643,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109410441098247,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109410568409766,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109411083845865,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109411471752858,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109411597887320,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109412114188037,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109412506151564,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109412627184631,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109413142410406,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109413535505766,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109413646608199,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109414171892454,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109414483764438,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109414672907293,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109415205266671,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109416337502975,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109416419389513,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109416858867557,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417368981583,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417450964730,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417680043908,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417680238421,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417811924461,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109417812126779,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109418441117192,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109419435655050,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109420468066136,100,100,100,100,100,100,100,100,100,100,100,100,100
