rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1408109376168268390,,526,,0,0,'',30,236,1,1,24,False,"[67070000, 446729766737883259, 18446463457726326560L, 2544822974505156725, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376174234236,,527,,0,0,'',26,237,1,1,62,False,"[4699461175225341706, 3173242634, 584115552256, 2544822978048032768, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376311433198,,528,,0,0,'',28,239,1,1,33,False,"[2378235022290257606, 113473139972821, 35465808410843722, 2544936164360060919, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376316325793,,529,,0,0,'',21,240,1,1,36,False,"[473448259580889624, 104990318, 30964446461427712, 2544936164360060919, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376321180166,,530,,0,0,'',22,241,1,1,35,False,"[495403105836402484, 567460781578585586, 13441556037939233760L, 2544936164360060919, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376342443856,,531,,0,0,'',28,242,1,1,30,False,"[4464812516454762292, 4618095433529453379, 4515386919202727260, 2544866203780388233, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376347327338,,532,,0,0,'',20,243,1,1,74,False,"[4585024709357291438, 4405601299535977513, 4515367644492005510, 2544866203780388233, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376376360724,,533,,0,0,'',12,246,1,1,2,False,"[1408109377151000, 4575741149364422473, 4402801804404850688, 2544866203772599154, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376382304375,,534,,0,0,'',26,247,1,1,27,False,"[64622963, 18430977631018221589L, 18397485201168924867L, 2544866203990294995, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376403446914,,535,,0,0,'',14,249,1,1,29,False,"[4934638211575121816, 13384436261662089543L, 18397206728351743982L, 2544866203990294995, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
