rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1408109380410261835,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380410278468,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380410287434,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380410296029,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380410376076,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017552418,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017942314,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017952375,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017960305,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017966163,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381462601261,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519790580,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519801032,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519854966,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519920119,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519926939,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381520004517,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382138174720,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382138202942,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382138255543,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382138321626,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382350108863,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382350441880,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382350457234,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382581894377,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382582112085,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382582119692,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382582214343,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382582278508,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383344209163,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383344258335,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693557555,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693567526,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693574418,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693653413,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693718459,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195626785,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195712687,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195761749,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195835269,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195931023,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384395733585,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384395798999,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384706952934,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384706958785,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384707016488,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384707202506,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384707209403,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376042956,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376095160,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376102503,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376161166,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376258411,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385436022005,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843060062,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843098028,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843167569,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843225184,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843324529,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843332991,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386406682152,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386406773635,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386406780231,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386406811651,100,100,100,100,100,100,100,100,100,100,100,100,100
